Frente;Verso;Tags
Quando considerar via aérea definitiva durante o ABCDE?;Quando há incapacidade de proteger via aérea, hipoxemia refratária, ventilação inadequada, choque grave, rebaixamento importante ou deterioração rápida.;TEMI2026::ABCDE UTI::IOT
No B, quais parâmetros devem ser avaliados rapidamente?;Frequência respiratória, SpO2, padrão respiratório, uso de musculatura acessória, expansibilidade torácica, ausculta, simetria e gasometria se indicada.;TEMI2026::ABCDE UTI::Respiratorio
No B, quais diagnósticos torácicos matam rápido e não podem ser perdidos?;Pneumotórax hipertensivo, broncoespasmo grave, edema agudo de pulmão, TEP maciço, tamponamento, hemotórax maciço e obstrução de via aérea.;TEMI2026::ABCDE UTI::Respiratorio Emergencia
Qual achado sugere pneumotórax hipertensivo no B?;Dispneia grave com instabilidade, murmúrio vesicular reduzido ou abolido unilateral, hipertimpanismo, turgência jugular ou desvio traqueal tardio.;TEMI2026::ABCDE UTI::Pneumotorax
No B, o que fazer diante de hipoxemia grave?;Ofertar oxigênio, posicionar o paciente, avaliar causa, considerar CNAF, VNI ou intubação e tratar imediatamente diagnósticos ameaçadores à vida.;TEMI2026::ABCDE UTI::Hipoxemia
No C, quais sinais clínicos sugerem hipoperfusão?;Pele fria ou mosqueada, tempo de enchimento capilar aumentado, confusão, oligúria, taquicardia, hipotensão, pulso fino e lactato elevado.;TEMI2026::ABCDE UTI::Choque
No C, qual é o alvo inicial usual de PAM no choque?;PAM maior ou igual a 65 mmHg, individualizando conforme contexto, hipertensão crônica, neurocrítico, sangramento e resposta clínica.;TEMI2026::ABCDE UTI::Hemodinamica
No C, quais medidas iniciais são fundamentais em choque?;Monitorização, dois acessos venosos calibrosos, coleta de exames/lactato, reposição volêmica se indicado, vasopressor se necessário e controle da causa.;TEMI2026::ABCDE UTI::Choque
Qual vasopressor geralmente é primeira linha no choque séptico?;Noradrenalina, titulada para perfusão e alvo de PAM, associada ao tratamento da causa e à reavaliação contínua.;TEMI2026::ABCDE UTI::Sepse
No C, quando suspeitar de choque obstrutivo?;Instabilidade com sinais de TEP maciço, pneumotórax hipertensivo, tamponamento cardíaco ou hipertensão intratorácica importante.;TEMI2026::ABCDE UTI::ChoqueObstrutivo
No D, qual exame rápido nunca deve faltar em rebaixamento do nível de consciência?;Glicemia capilar, porque hipoglicemia é causa comum, reversível e tempo-dependente de alteração neurológica.;TEMI2026::ABCDE UTI::Coma
No D, quais dados neurológicos devem ser descritos?;Glasgow ou RASS, pupilas, lateralização, convulsões, sinais meníngeos, sedação em uso, glicemia e evolução do nível de consciência.;TEMI2026::ABCDE UTI::Neurologia
No D, quais causas reversíveis devem ser lembradas no coma agudo?;Hipóxia, hipoglicemia, choque, intoxicação, crise epiléptica, sepse, distúrbios hidroeletrolíticos, AVC e hipertensão intracraniana.;TEMI2026::ABCDE UTI::Coma
No E, por que expor completamente o paciente crítico?;Para identificar lesões, sangramentos ocultos, rash, sinais de infecção, dispositivos, abdome agudo, trauma, lesões de pele e fontes não óbvias.;TEMI2026::ABCDE UTI::Exposicao
No E, qual risco deve ser prevenido durante a exposição?;Hipotermia. O paciente deve ser exposto para exame, mas coberto e reaquecido após a avaliação.;TEMI2026::ABCDE UTI::Seguranca
Após terminar o ABCDE, o que deve ser feito?;Reavaliar ABCDE, checar resposta às intervenções, revisar exames, formular hipóteses sindrômicas e definir plano terapêutico e destino.;TEMI2026::ABCDE UTI::Reavaliacao
Qual é a principal armadilha ao usar o ABCDE?;Fazer o ABCDE como checklist passivo e não tratar as alterações encontradas imediatamente.;TEMI2026::ABCDE UTI::Armadilhas
Como verbalizar o início de uma estação prática de ABCDE na TEMI?;Eu avalio segurança, chamo ajuda, monitorizo, obtenho acessos, inicio ABCDE, trato ameaças imediatas em cada etapa e reavalio continuamente.;TEMI2026::ABCDE ProvaPratica::Simulacao
Qual frase resume a avaliação ABCDE na UTI?;ABCDE é uma varredura de ameaças à vida: via aérea, respiração, circulação, cérebro e corpo inteiro, sempre com intervenção e reavaliação.;TEMI2026::ABCDE UTI::Resumo
